product_id,name,brand,category,category_id,price_current,price_ratio,image_url,url
208947094,Tommy Hilfiger leather suede comfort derby shoes in navy,Tommy Hilfiger,Men's Shoes,4209,149.9,,https://images.asos-media.com/products/tommy-hilfiger-leather-suede-comfort-derby-shoes-in-navy/208947094-1-navy,https://www.asos.comtommy-hilfiger/tommy-hilfiger-leather-suede-comfort-derby-shoes-in-navy/prd/208947094#colourWayId-208947095
207776603,South Beach shiny crinkle halter bikini top in chocolate,South Beach,Women's Swimwear and Beachwear,2238,32.0,,https://images.asos-media.com/products/south-beach-shiny-crinkle-halter-bikini-top-in-chocolate/207776603-1-chocolate,https://www.asos.comsouth-beach/south-beach-shiny-crinkle-bikini-in-chocolate/grp/208902614#colourWayId-207776604&productId-207776603
209459860,Wednesday's Girl long sleeve smudge spot mini dress in plum pink,Wednesday's Girl,Women's Dresses,8799,39.0,,https://images.asos-media.com/products/wednesdays-girl-long-sleeve-smudge-spot-mini-dress-in-plum-pink/209459860-1-plum,https://www.asos.comwednesdays-girl/wednesdays-girl-long-sleeve-smudge-spot-mini-dress-in-plum-pink/prd/209459860#colourWayId-209459864
208042565,Nike One Dri-FIT high rise leggings in navy,Nike Training,Women's Pants,2640,60.0,,https://images.asos-media.com/products/nike-one-dri-fit-high-rise-leggings-in-navy/208042565-1-navy,https://www.asos.comnike-training/nike-one-dri-fit-high-rise-leggings-in-navy/prd/208042565#colourWayId-208042613
208776875,ASOS DESIGN slim loafers in brown suede,ASOS DESIGN,Men's Shoes,4209,69.99,,https://images.asos-media.com/products/asos-design-slim-loafers-in-brown-suede/208776875-1-brown,https://www.asos.comasos-design/asos-design-slim-loafers-in-brown-suede/prd/208776875#colourWayId-208776883
209275508,Adore Me Brinlee swimwear one-piece in black,Adore Me,Women's Swimwear and Beachwear,2238,59.95,,https://images.asos-media.com/products/adore-me-brinlee-swimwear-one-piece-in-black/209275508-1-black,https://www.asos.comadore-me/adore-me-brinlee-swimwear-one-piece-in-black/prd/209275508#colourWayId-209275522
209220066,Weekday wool blend car coat in dark brown,Weekday,Women's Coats and Jackets,2641,247.0,,https://images.asos-media.com/products/weekday-wool-blend-car-coat-in-dark-brown/209220066-1-darkbrown,https://www.asos.comweekday/weekday-wool-blend-car-coat-in-dark-brown/prd/209220066#colourWayId-209220085
209456062,Topshop low rise flared pants in brown,Topshop,Women's Pants,2640,70.0,,https://images.asos-media.com/products/topshop-low-rise-flared-pants-in-brown/209456062-1-brown,https://www.asos.comtopshop/topshop-low-rise-flared-pants-in-brown/prd/209456062#colourWayId-209456070
209125289,ASOS DESIGN cowl hardware mesh maxi dress in mixed animal print,ASOS DESIGN,Women's Dresses,8799,69.99,,https://images.asos-media.com/products/asos-design-cowl-hardware-mesh-maxi-dress-in-mixed-animal-print/209125289-1-print,https://www.asos.comasos-design/asos-design-cowl-hardware-mesh-maxi-dress-in-mixed-animal-print/prd/209125289#colourWayId-209125319
208425804,Reclaimed Vintage Unisex reversible harrington coach jacket in tan and plaid print,Reclaimed Vintage,Women's Coats and Jackets,2641,119.0,,https://images.asos-media.com/products/reclaimed-vintage-unisex-reversible-harrington-coach-jacket-in-tan-and-plaid-print/208425804-1-tan,https://www.asos.comreclaimed-vintage/reclaimed-vintage-unisex-reversible-harrington-coach-jacket-in-tan-and-plaid-print/prd/208425804#colourWayId-208425806
